date,classification,trades,total_pnl,total_volume,win_rate,unique_traders
2024-10-06,Neutral,22.0,130.487079,300130.56,1.0,1.0
2024-10-07,Neutral,21.0,0.0,219984.65000000002,,1.0
2024-10-08,Neutral,36.0,5396.546638,434584.13000000006,1.0,2.0
2024-10-09,Neutral,14.0,396.06272,220399.93,1.0,1.0
2024-10-10,Fear,16.0,0.0,300024.34,,1.0
2024-10-11,Fear,26.0,8885.327476999999,488904.19,1.0,2.0
2024-10-12,Neutral,10.0,541.55471,159713.4,1.0,1.0
2024-10-13,Neutral,10.0,0.0,60002.42,,1.0
2024-10-14,Neutral,5.0,1913.6195799999998,61916.02,1.0,1.0
2024-10-15,Greed,7.0,1170.2260760000001,81173.36,1.0,1.0
2024-10-16,Greed,11.0,219.480876,80229.17000000001,1.0,1.0
2024-10-17,Greed,9.0,36.11496,140531.75,0.5,2.0
2024-10-18,Greed,6.0,333.219141,120331.43000000001,1.0,1.0
2024-10-19,Greed,4.0,0.0,99996.86,,1.0
2024-10-20,Greed,96.0,389.155797,176447.86000000002,1.0,2.0
2024-10-21,Greed,173.0,2464.9155640000004,324117.99,1.0,2.0
2024-10-22,Greed,3.0,0.0,60000.36,,1.0
2024-10-23,Greed,18.0,-46.489941,210006.07000000004,0.0,1.0
2024-10-25,Greed,30.0,13235.862071,427883.17999999993,1.0,2.0
2024-10-27,Greed,4.0,666.6623079999999,90664.41,1.0,1.0
2024-10-28,Greed,13.0,167.28016200000002,121495.25,1.0,2.0
2024-10-29,Greed,53.0,801.1708760000001,613267.81,1.0,2.0
2024-10-30,Extreme Greed,25.0,9.150023,11830.85,0.875,1.0
2024-10-31,Extreme Greed,48.0,1214.043811,896173.3600000001,0.918918918918919,3.0
2024-11-01,Extreme Greed,23.0,1040.4757359999999,260981.03,0.6,2.0
2024-11-02,Greed,2.0,0.0,40000.0,,1.0
2024-11-03,Greed,6.0,0.0,129055.66,,2.0
2024-11-04,Greed,36.0,2799.4104740000002,451811.97,1.0,2.0
2024-11-05,Greed,10.0,678.475928,200627.23,1.0,1.0
2024-11-06,Greed,15.0,2817.837229999999,123906.90000000001,0.7777777777777778,2.0
2024-11-07,Extreme Greed,113.0,4493.353136,111335.3,1.0,3.0
2024-11-08,Extreme Greed,39.0,-64.41354100000004,270700.44000000006,0.375,2.0
2024-11-09,Extreme Greed,86.0,102.90894,193384.41,0.4318181818181818,2.0
2024-11-10,Extreme Greed,173.0,991.1143339999999,413636.69999999995,1.0,3.0
2024-11-11,Extreme Greed,373.0,6749.630996,1570572.42,0.9583333333333334,4.0
2024-11-12,Extreme Greed,171.0,3494.399394,1226354.52,0.8095238095238095,4.0
2024-11-13,Extreme Greed,48.0,7846.402274,515336.37,0.84375,5.0
2024-11-14,Extreme Greed,110.0,4563.509225,1008361.8100000002,1.0,2.0
2024-11-15,Extreme Greed,149.0,4140.740438000001,1427858.42,1.0,4.0
2024-11-16,Extreme Greed,157.0,2769.521909,303296.06999999995,0.8275862068965517,4.0
2024-11-17,Extreme Greed,209.0,882.975285,1215987.57,0.7903225806451613,4.0
2024-11-18,Extreme Greed,346.0,4470.815187,2084339.5799999998,0.7948717948717948,7.0
2024-11-19,Extreme Greed,305.0,2958.2689909999995,628031.1499999999,0.8982035928143712,5.0
2024-11-20,Extreme Greed,550.0,4210.0928969999995,1999514.1199999996,0.7324414715719063,5.0
2024-11-21,Extreme Greed,535.0,1692.430891,598300.62,0.6470588235294118,5.0
2024-11-22,Extreme Greed,679.0,-18105.345617000003,1646713.6199999999,0.59375,6.0
2024-11-23,Extreme Greed,363.0,2901.531638,516245.68,0.8590604026845637,4.0
2024-11-24,Extreme Greed,172.0,945.5503859999999,664952.2800000001,0.7540983606557377,3.0
2024-11-25,Extreme Greed,255.0,5523.740734,937410.8700000001,0.7046979865771812,2.0
2024-11-26,Extreme Greed,302.0,1094.809359,1146902.44,0.6875,4.0
2024-11-27,Extreme Greed,213.0,-2654.495633,1444242.5299999998,0.5692307692307692,2.0
2024-11-28,Extreme Greed,332.0,-127075.39958499999,1894225.1500000004,0.4780701754385965,5.0
2024-11-29,Extreme Greed,393.0,176844.99415199997,794262.9099999999,0.9186602870813397,11.0
2024-11-30,Extreme Greed,373.0,37316.69352,1732193.7,0.9075144508670521,8.0
2024-12-01,Extreme Greed,416.0,40886.364493999994,814711.8200000001,0.9525862068965517,9.0
2024-12-02,Extreme Greed,270.0,18489.604313,585243.56,0.9821428571428571,8.0
2024-12-03,Extreme Greed,374.0,23576.539285,1084666.53,0.9096045197740112,8.0
2024-12-04,Extreme Greed,319.0,292891.81502100005,769287.6500000001,0.891566265060241,7.0
2024-12-05,Extreme Greed,456.0,71574.11848800001,1256750.79,0.9414634146341463,8.0
2024-12-06,Greed,403.0,-92624.643895,3471019.2199999997,0.6861313868613139,10.0
2024-12-07,Extreme Greed,304.0,85906.279067,451733.42000000004,0.9225352112676056,6.0
2024-12-08,Extreme Greed,420.0,15965.933436000001,932939.72,0.9743589743589743,6.0
2024-12-09,Extreme Greed,539.0,6310.967676,983949.6799999999,0.9662921348314607,10.0
